",A,B,C,D,E,F,G,H,I,"
"1,Building,Floor,Suite,Room,Bed,RoomType,SuiteSize(ifapplicable),RoomGender,RoomProfile,"
"2,BARBOURHALL,BARBOURFL0 APT,BARBOUR050,BARBOUR050051,BARBOUR050051-1,Double (Suite/Apartment),3,Female,24-25 SpringGeneralSelection,"
"3,BARBOURHALL,BARBOURFL0 APT,BARBOUR050,BARBOUR050051,BARBOUR050051-2,Double (Suite/Apartment),3,Female,24-25 SpringGeneralSelection,"
"4,BARBOURHALL,BARBOURFL0 APT,BARBOUR080,BARBOUR080081,BARBOUR080081-1,Double (Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"5,BARBOURHALL,BARBOURFL0 APT,BARBOUR080,BARBOUR080081,BARBOUR080081-2,Double (Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"6,BARBOURHALL,BARBOURFL0 APT,BARBOUR080,BARBOUR080084,BARBOUR080084-1,Double (Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"7,BARBOURHALL,BARBOURFL0 APT,BARBOUR080,BARBOUR080084,BARBOUR080084-2,Double (Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"8,BARBOURHALL,BARBOURFL1,BARBOUR103,BARBOUR103,BARBOUR103-1,Triple,,CoEd,24-25 SpringGeneralSelection,"
"9,BARBOURHALL,BARBOURFL1,BARBOUR103,BARBOUR103,BARBOUR103-2,Triple,,CoEd,24-25 SpringGeneralSelection,"
"10,BARBOURHALL,BARBOURFL1,BARBOUR103,BARBOUR103,BARBOUR103-3,Triple,,CoEd,24-25 SpringGeneralSelection,"
"11,BARBOURHALL,BARBOURFL1,BARBOUR105,BARBOUR105,BARBOUR105-1,Triple,,CoEd,24-25 SpringGeneralSelection,"
"12,BARBOURHALL,BARBOURFL1,BARBOUR105,BARBOUR105,BARBOUR105-2,Triple,,CoEd,24-25 SpringGeneralSelection,"
"13,BARBOURHALL,BARBOURFL1,BARBOUR105,BARBOUR105,BARBOUR105-3,Triple,,CoEd,24-25 SpringGeneralSelection,"
"14,BARBOURHALL,BARBOURFL1,BARBOUR106,BARBOUR106,BARBOUR106-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"15,BARBOURHALL,BARBOURFL1,BARBOUR106,BARBOUR106,BARBOUR106-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"16,BARBOURHALL,BARBOURFL1,BARBOUR108,BARBOUR108,BARBOUR108-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"17,BARBOURHALL,BARBOURFL1,BARBOUR108,BARBOUR108,BARBOUR108-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"18,BARBOURHALL,BARBOURFL1 APT,BARBOUR150,BARBOUR150152,BARBOUR150152-1,Triple(Suite/Apartment),5,CoEd,24-25 SpringGeneralSelection,"
"19,BARBOURHALL,BARBOURFL1 APT,BARBOUR150,BARBOUR150152,BARBOUR150152-2,Triple(Suite/Apartment),5,CoEd,24-25 SpringGeneralSelection,"
"20,BARBOURHALL,BARBOURFL1 APT,BARBOUR150,BARBOUR150152,BARBOUR150152-3,Triple(Suite/Apartment),5,CoEd,24-25 SpringGeneralSelection,"
"21,BARBOURHALL,BARBOURFL1 APT,BARBOUR150,BARBOUR150155,BARBOUR150155-1,Double (Suite/Apartment),5,CoEd,24-25 SpringGeneralSelection,"
"22,BARBOURHALL,BARBOURFL1 APT,BARBOUR150,BARBOUR150155,BARBOUR150155-2,Double (Suite/Apartment),5,CoEd,24-25 SpringGeneralSelection,"
"23,BARBOURHALL,BARBOURFL1 APT,BARBOUR170,BARBOUR170171,BARBOUR170171-1,Double (Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"24,BARBOURHALL,BARBOURFL1 APT,BARBOUR170,BARBOUR170171,BARBOUR170171-2,Double (Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"25,BARBOURHALL,BARBOURFL1 APT,BARBOUR170,BARBOUR170174,BARBOUR170174-1,Double (Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"26,BARBOURHALL,BARBOURFL1 APT,BARBOUR170,BARBOUR170174,BARBOUR170174-2,Double (Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"27,BARBOURHALL,BARBOURFL1 APT,BARBOUR180,BARBOUR180180,BARBOUR180181-1,Double (Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
"28,BARBOURHALL,BARBOURFL1 APT,BARBOUR180,BARBOUR180180,BARBOUR180181-2,Double (Suite/Apartment),4,CoEd,24-25 SpringGeneralSelection,"
